kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
"Setelah mempelajari bab ini siswa harus mampu mengenal bagian-bagian tubuh, kegunaannya, dan cara perawatannya.","Setelah mempelajari bab ini siswa harus mampx mengenal bagian-bagian tubuh, kegunaannya, dan cara perawatannya.",IPA,Subtitution Error
"Guru membacakan pengantar lalu mengumpulkan jawaban dari siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.","Guru membacakan pengantar lalu mengumpulkan jawaban xari siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.",IPA,Subtitution Error
Guru memberi contoh menyanyikan lagu di atas dengan peragaan.,Guru memberi contoh menyanyikan lagu di wtas dengan peragaan.,IPA,Subtitution Error
Selanjutnya guru meminta siswa menirukan dan menyanyi bersama.,Selanjutnya guru meminta siswa menirukan dan menyznyi bersama.,IPA,Subtitution Error
Guru membacakan permintaan dan memberi contoh.,Guru membacakan permintaan dar memberi contoh.,IPA,Subtitution Error
Lalu guru menuntun siswa menuliskan nomor pilihan mereka ke buku tugas.,Lalu guru menuntun siswa menuliskan nomor pilizan mereka ke buku tugas.,IPA,Subtitution Error
"Siswa menebak warna, rasa, dan bau tanpa melihatnya, namun boleh meraba, mencium, dan mencicipi.","Siswa menebak warna, rasa, dan bau tanpx melihatnya, namun boleh meraba, mencium, dan mencicipi.",IPA,Subtitution Error
Guru menjelaskan hal-hal yang boleh dilakukan siswa untuk menebak benda.,Guru menjelaskan hal-hal yang boleh dilakukan siswx untuk menebak benda.,IPA,Subtitution Error
"Misalnya meraba, mencium, atau mencicipi (makanan).","Misalnya meraba, mencium, atpu mencicipi (makanan).",IPA,Subtitution Error
Setelah kegiatan guru mengajukan berbagai pertanyaan.,Setelah kegiatan guru mengajuwan berbagai pertanyaan.,IPA,Subtitution Error
Akhirnya guru membantu siswa menyimpulkan bahwa setiap bagian tubuh memiliki kegunaan.,Akhirnya guru membantu siswa menyimpulkan bahwa setizp bagian tubuh memiliki kegunaan.,IPA,Subtitution Error
Guru memberikan contoh.,Guru memberikan contyh.,IPA,Subtitution Error
Selanjutnya beberapa siswa diminta untuk melakukan sendiri di depan kelas.,Selanjutnya beberapa siswa diminta untuk melakukan sendzri di depan kelas.,IPA,Subtitution Error
Guru membacakan setiap perintah soal beserta soal yang ada.,Guru membacakan setiap perintah xoal beserta soal yang ada.,IPA,Subtitution Error
Lalu siswa diminta menulis jawabannya di buku tugas masing-masing.,Lalu siswa diminta menulis jawabannya di wuku tugas masing-masing.,IPA,Subtitution Error
Orang tua membantu siswa memotong semua kuku jari tangan dan kuku jari kaki.,Orang tua membantu siswa memotong semua vuku jari tangan dan kuku jari kaki.,IPA,Subtitution Error
Lalu meminta mereka mencucinya dengan sabun hingga bersih.,Lalu meminta mereka mencucinya dengan sabun hingya bersih.,IPA,Subtitution Error
