kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
"Setelah mempelajari bab ini siswa harus mampu mengenal bagian-bagian tubuh, kegunaannya, dan cara perawatannya.","Setelah mempelajari bab ini siswa harus mampu mengenal bagian-bagian tubuh@ kegunaannya, dan cara perawatannya.",IPA,Punctuation Error
"Guru membacakan pengantar lalu mengumpulkan jawaban dari siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.",Guru membacakan pengantar lalu mengumpulkan jawaban dari siswa sebanyak mungkin@ tanpa terlebih dahulu membenarkan atau menyalahkan.,IPA,Punctuation Error
Guru memberi contoh menyanyikan lagu di atas dengan peragaan.,Guru memberi contoh menyanyikan lagu di atas dengan peragaan',IPA,Punctuation Error
Selanjutnya guru meminta siswa menirukan dan menyanyi bersama.,Selanjutnya guru meminta siswa menirukan dan menyanyi bersama',IPA,Punctuation Error
Guru membacakan permintaan dan memberi contoh.,Guru membacakan permintaan dan memberi contoh',IPA,Punctuation Error
Lalu guru menuntun siswa menuliskan nomor pilihan mereka ke buku tugas.,Lalu guru menuntun siswa menuliskan nomor pilihan mereka ke buku tugas',IPA,Punctuation Error
"Siswa menebak warna, rasa, dan bau tanpa melihatnya, namun boleh meraba, mencium, dan mencicipi.","Siswa menebak warna} rasa, dan bau tanpa melihatnya, namun boleh meraba, mencium, dan mencicipi.",IPA,Punctuation Error
Guru menjelaskan hal-hal yang boleh dilakukan siswa untuk menebak benda.,Guru menjelaskan hal?hal yang boleh dilakukan siswa untuk menebak benda.,IPA,Punctuation Error
"Misalnya meraba, mencium, atau mencicipi (makanan).","Misalnya meraba, mencium, atau mencicipi (makanan=.",IPA,Punctuation Error
Setelah kegiatan guru mengajukan berbagai pertanyaan.,Setelah kegiatan guru mengajukan berbagai pertanyaan',IPA,Punctuation Error
Akhirnya guru membantu siswa menyimpulkan bahwa setiap bagian tubuh memiliki kegunaan.,Akhirnya guru membantu siswa menyimpulkan bahwa setiap bagian tubuh memiliki kegunaan',IPA,Punctuation Error
Guru memberikan contoh.,Guru memberikan contoh',IPA,Punctuation Error
Selanjutnya beberapa siswa diminta untuk melakukan sendiri di depan kelas.,Selanjutnya beberapa siswa diminta untuk melakukan sendiri di depan kelas',IPA,Punctuation Error
Guru membacakan setiap perintah soal beserta soal yang ada.,Guru membacakan setiap perintah soal beserta soal yang ada',IPA,Punctuation Error
