kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
"Setelah mempelajari bab ini siswa harus mampu mengenal bagian-bagian tubuh, kegunaannya, dan cara perawatannya.","Setelah mempelajari bab ini siswa harus mampu mengenal bagian-bagian tubuh, kegunaannya, dana cara perawatannya.",IPA,Real word Error
"Guru membacakan pengantar lalu mengumpulkan jawaban dari siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.","Gurun membacakan pengantar lalu mengumpulkan jawaban dari siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.",IPA,Real word Error
Guru memberi contoh menyanyikan lagu di atas dengan peragaan.,Guru memberi contoh menyanyikan lagu di atas dengar peragaan.,IPA,Real word Error
Selanjutnya guru meminta siswa menirukan dan menyanyi bersama.,Selanjutnya guru meminta siswa menirukan dana menyanyi bersama.,IPA,Real word Error
Guru membacakan permintaan dan memberi contoh.,Guru membacakan permintaan dana memberi contoh.,IPA,Real word Error
Lalu guru menuntun siswa menuliskan nomor pilihan mereka ke buku tugas.,Lalu guruh menuntun siswa menuliskan nomor pilihan mereka ke buku tugas.,IPA,Real word Error
"Siswa menebak warna, rasa, dan bau tanpa melihatnya, namun boleh meraba, mencium, dan mencicipi.","Siswa menebak warna, rasa, dana bau tanpa melihatnya, namun boleh meraba, mencium, dana mencicipi.",IPA,Real word Error
Guru menjelaskan hal-hal yang boleh dilakukan siswa untuk menebak benda.,Guru menjelaskan hal-hal yang boleh dilakukan siswa untuk menebak beda.,IPA,Real word Error
"Misalnya meraba, mencium, atau mencicipi (makanan).","Misalnya raba, mencium, atau mencicipi (makanan).",IPA,Real word Error
Setelah kegiatan guru mengajukan berbagai pertanyaan.,Setelah kegiatan guruh mengajukan berbagai pertanyaan.,IPA,Real word Error
