kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
"Setelah mempelajari bab ini siswa harus mampu mengenal bagian-bagian tubuh, kegunaannya, dan cara perawatannya.","Setelah mempelajari bab ini siswa harus pmamu mengenal bagian-bagian tubuh, kegunaannya, dan cara perawatannya.",IPA,Transposition Error
"Guru membacakan pengantar lalu mengumpulkan jawaban dari siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.","Guru membacakan pengantar lalu mengumpulkan jawaban idar siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.",IPA,Transposition Error
Guru memberi contoh menyanyikan lagu di atas dengan peragaan.,Guru memberi contoh menyanyikan lagu di sata dengan peragaan.,IPA,Transposition Error
Selanjutnya guru meminta siswa menirukan dan menyanyi bersama.,Selanjutnya guru meminta siswa menirukan dan menaynyi bersama.,IPA,Transposition Error
Guru membacakan permintaan dan memberi contoh.,Guru membacakan peramintan dan memberi contoh.,IPA,Transposition Error
Lalu guru menuntun siswa menuliskan nomor pilihan mereka ke buku tugas.,Lalu guru menuntun siswa menuliskan nomor plihian mereka ke buku tugas.,IPA,Transposition Error
"Siswa menebak warna, rasa, dan bau tanpa melihatnya, namun boleh meraba, mencium, dan mencicipi.","Siswa menebak warna, rasa, dan bau ptana melihatnya, namun boleh meraba, mencium, dan mencicipi.",IPA,Transposition Error
Guru menjelaskan hal-hal yang boleh dilakukan siswa untuk menebak benda.,Guru menjelaskan hal-hal yang boleh dilakukan wsisa untuk menebak benda.,IPA,Transposition Error
"Misalnya meraba, mencium, atau mencicipi (makanan).","Misalnya meraba, mencium, taau mencicipi (makanan).",IPA,Transposition Error
Setelah kegiatan guru mengajukan berbagai pertanyaan.,Setelah kegiatan guru mengkajuan berbagai pertanyaan.,IPA,Transposition Error
Akhirnya guru membantu siswa menyimpulkan bahwa setiap bagian tubuh memiliki kegunaan.,Akhirnya guru membantu siswa menyimpulkan bahwa setaip bagian tubuh memiliki kegunaan.,IPA,Transposition Error
Guru memberikan contoh.,Guru memberikan conoth.,IPA,Transposition Error
Selanjutnya beberapa siswa diminta untuk melakukan sendiri di depan kelas.,Selanjutnya beberapa siswa diminta untuk melakukan senidri di depan kelas.,IPA,Transposition Error
Guru membacakan setiap perintah soal beserta soal yang ada.,Guru membacakan setiap perintah lsoa beserta soal yang ada.,IPA,Transposition Error
Lalu siswa diminta menulis jawabannya di buku tugas masing-masing.,Lalu siswa diminta menulis jawabannya di ubku tugas masing-masing.,IPA,Transposition Error
Orang tua membantu siswa memotong semua kuku jari tangan dan kuku jari kaki.,Orang tua membantu siswa memotong semua ukku jari tangan dan kuku jari kaki.,IPA,Transposition Error
Lalu meminta mereka mencucinya dengan sabun hingga bersih.,Lual meminta mereka mencucinya dengan sabun hingga bersih.,IPA,Transposition Error
Setelah mempelajari bab ini siswa harus mampu mengidentifikasi kebutuhan tubuh agar dapat tumbuh sehat dan kuat dan dapat membiasakan hidup sehat.,Setelah mempelajari bab ini siswa harus pmamu mengidentifikasi kebutuhan tubuh agar dapat tumbuh sehat dan kuat dan dapat membiasakan hidup sehat.,IPA,Transposition Error
"Guru memberikan contoh, lalu menunjuk siswa satu per satu dan meminta mereka menyebutkan makanan dan minuman sehari-hari.","Guru memberikan contoh, lalu menunjuk siswa usat per satu dan meminta mereka menyebutkan makanan dan minuman sehari-hari.",IPA,Transposition Error
"Guru memberikan contoh, lalu menunjuk siswa satu per satu dan meminta mereka menyebutkan nama baju dan kapan harus dipakai.","Guru memberikan contoh, lalu menunjuk siswa usat per satu dan meminta mereka menyebutkan nama baju dan kapan harus dipakai.",IPA,Transposition Error
Mula-mula guru memberi contoh menyanyikan lagu tersebut.,Mula-mula guru memberi contoh menyanyikan lagu teresbut.,IPA,Transposition Error
"Selanjutnya, guru mengajak siswa untuk menyanyikannya bersama-sama.","Selanjutnya, guru mengajak siswa untuk menyanyikannya berama-samsa.",IPA,Transposition Error
Guru memberikan satu contoh.,Guru memberikan usat contoh.,IPA,Transposition Error
"Lalu, satu per satu siswa diminta menyebutkan nama kegiatan (diminta menyebutkan kegiatan itu termasuk istirahat atau olahraga).","Lalu, satu per satu siswa diminta menebutykan nama kegiatan (diminta menyebutkan kegiatan itu termasuk istirahat atau olahraga).",IPA,Transposition Error
"Orang tua membantu siswa menemukan foto mereka, lalu menuntun cara menempel dan menuliskan kata aku anak sehat di bawah foto tersebut.","Orang tua membantu siswa menemukan foto mrekea, lalu menuntun cara menempel dan menuliskan kata aku anak sehat di bawah foto tersebut.",IPA,Transposition Error
