kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
"Setelah mempelajari bab ini siswa harus mampu mengenal bagian-bagian tubuh, kegunaannya, dan cara perawatannya.","Setelah mempelajari bab ini siswa harus mamu mengenal bagian-bagian tubuh, kegunaannya, dan cara perawatannya.",IPA,Deletion Error
"Guru membacakan pengantar lalu mengumpulkan jawaban dari siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.","Guru membacakan pengantar lalu mengumpulkan jawaban dar siswa sebanyak mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.",IPA,Deletion Error
Guru memberi contoh menyanyikan lagu di atas dengan peragaan.,Guru memberi contoh menyanyikan lagu di ata dengan peragaan.,IPA,Deletion Error
Selanjutnya guru meminta siswa menirukan dan menyanyi bersama.,Selanjutnya guru meminta siswa menirukan dan menanyi bersama.,IPA,Deletion Error
Guru membacakan permintaan dan memberi contoh.,Guru membacakan permintaan an memberi contoh.,IPA,Deletion Error
Lalu guru menuntun siswa menuliskan nomor pilihan mereka ke buku tugas.,Lalu guru menuntun siswa menuliskan nomor plihan mereka ke buku tugas.,IPA,Deletion Error
"Siswa menebak warna, rasa, dan bau tanpa melihatnya, namun boleh meraba, mencium, dan mencicipi.","Siswa menebak warna, rasa, dan bau tana melihatnya, namun boleh meraba, mencium, dan mencicipi.",IPA,Deletion Error
Guru menjelaskan hal-hal yang boleh dilakukan siswa untuk menebak benda.,Guru menjelaskan hal-hal yang boleh dilakukan sisa untuk menebak benda.,IPA,Deletion Error
"Misalnya meraba, mencium, atau mencicipi (makanan).","Misalnya meraba, mencium, tau mencicipi (makanan).",IPA,Deletion Error
Setelah kegiatan guru mengajukan berbagai pertanyaan.,Setelah kegiatan guru mengajuan berbagai pertanyaan.,IPA,Deletion Error
Akhirnya guru membantu siswa menyimpulkan bahwa setiap bagian tubuh memiliki kegunaan.,Akhirnya guru membantu siswa menyimpulkan bahwa setap bagian tubuh memiliki kegunaan.,IPA,Deletion Error
Guru memberikan contoh.,Guru memberikan conoh.,IPA,Deletion Error
